"inputs[""Boronate in Solvent""].components[0].identifiers[0].value","inputs[""Boronate in Solvent""].components[1].identifiers[0].value","inputs[""Ligand in Solvent""].components[0].identifiers[0].value","inputs[""Ligand in Solvent""].components[0].amount.moles.value","inputs[""Ligand in Solvent""].components[0].amount.moles.units","inputs[""Ligand in Solvent""].components[0].reaction_role","inputs[""Ligand in Solvent""].components[1].identifiers[0].type","inputs[""Ligand in Solvent""].components[1].identifiers[0].value","inputs[""Ligand in Solvent""].components[1].amount.volume.value","inputs[""Ligand in Solvent""].components[1].amount.volume.units","inputs[""Ligand in Solvent""].components[1].amount.volume_includes_solutes","inputs[""Ligand in Solvent""].components[1].reaction_role","inputs[""Aryl Halide""].components[0].identifiers[0].value","inputs[""Solvent_1""].components[0].identifiers[0].value","inputs[""Base in Solvent""].components[0].identifiers[0].value","inputs[""Base in Solvent""].components[0].amount.moles.value","inputs[""Base in Solvent""].components[0].amount.moles.units","inputs[""Base in Solvent""].components[0].reaction_role","inputs[""Base in Solvent""].components[1].identifiers[0].type","inputs[""Base in Solvent""].components[1].identifiers[0].value","inputs[""Base in Solvent""].components[1].amount.volume.value","inputs[""Base in Solvent""].components[1].amount.volume.units","inputs[""Base in Solvent""].components[1].reaction_role",outcomes[0].products[0].measurements[0].percentage.value,provenance.record_modified[1].time.value,reaction_id,"inputs[""Ligand in Solvent""].components[0].amount.volume.value","inputs[""Ligand in Solvent""].components[0].amount.volume.units","inputs[""Ligand in Solvent""].components[0].amount.volume_includes_solutes","inputs[""Base in Solvent""].components[0].amount.volume.value","inputs[""Base in Solvent""].components[0].amount.volume.units"
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,2.109999895095825,2021-03-04 13:56:15.349053,ord-7d5527d09a1b4c489dac66fb1528d760,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,Cc1ccccc1,,,SOLVENT,,,,,,,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,17.09000015258789,2021-03-04 13:56:15.354392,ord-db7941eb88b6490aa52f24d12094dde9,1.0,MICROLITER,True,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,3.1600000858306885,2021-03-04 13:56:15.360367,ord-b3df7f4319994cf0a9d99ca1408335fa,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,c1ccc(cc1)P(c2ccccc2)c3ccccc3,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,4.75,2021-03-04 13:56:15.369267,ord-5b81f57b07a74ce199261bf9e49d8329,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,2.4600000381469727,2021-03-04 13:56:15.375046,ord-2b62953e9c8a4c25ba00bea0ff363c0f,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,5.269999980926514,2021-03-04 13:56:15.381843,ord-cae9d38b614b4db8b9c15bc2890c6fb7,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,1.9600000381469727,2021-03-04 13:56:15.387599,ord-1f53f9a4c0fd400895a2148b226073bf,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,3.3499999046325684,2021-03-04 13:56:15.393769,ord-b37ea5b034a8466d87cd19c154f0bd61,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,69.22000122070312,2021-03-04 13:56:15.399291,ord-095d58c5965b4ccca44c2397551dcc8f,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,5.099999904632568,2021-03-04 13:56:15.405124,ord-86933a433f6248ec85487d0643e6d474,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,83.19000244140625,2021-03-04 13:56:15.411286,ord-eb3e063d764a4764893d2a1dc91d5076,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,13.680000305175781,2021-03-04 13:56:15.418943,ord-8fd779b1518547a1ad3f3bacc8953533,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,1.8200000524520874,2021-03-04 13:56:15.425452,ord-ace7d33e34c74ea2ab814bbab48b1c33,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,Cc1ccccc1,,,SOLVENT,,,,,,,ClC1=CC=C2N=CC=CC2=C1,CC#N,C(=O)(O)[O-].[Na+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,10.989999771118164,2021-03-04 13:56:15.430792,ord-80a7f88b384b4c90b81b3f98d76560ff,1.0,MICROLITER,True,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,1.7899999618530273,2021-03-04 13:56:15.436356,ord-24a17733d36d4afda288ef9fc1d5af00,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,c1ccc(cc1)P(c2ccccc2)c3ccccc3,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,4.360000133514404,2021-03-04 13:56:15.442177,ord-1df2f799588a43bcbdfdec83d56b4a00,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,2.7100000381469727,2021-03-04 13:56:15.448047,ord-0e2119c5bd8b4c8da09801f5777351a2,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,6.489999771118164,2021-03-04 13:56:15.453852,ord-1e900ef99a8e4ccea12dd58cae0fbf0c,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,2.0999999046325684,2021-03-04 13:56:15.459662,ord-631cfd3fcb994de0b9866323887e39c7,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,3.319999933242798,2021-03-04 13:56:15.466244,ord-44eff5c2d9d247768041aa1bac7aa91d,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,68.44000244140625,2021-03-04 13:56:15.472484,ord-e21be29810ef4b1a92e411ba7beb5f0f,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,5.840000152587891,2021-03-04 13:56:15.478432,ord-10c9f83695c940d78fc8730c10294d90,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,73.0199966430664,2021-03-04 13:56:15.484223,ord-ef1dc6a2ff76478a8ab3a7a5b011a6eb,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,13.199999809265137,2021-03-04 13:56:15.490144,ord-f7cf98dc47f44a8ba3b42ce1072ac5ff,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,2.0999999046325684,2021-03-04 13:56:15.495919,ord-595edc2d934c45089f0f124f19281531,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,Cc1ccccc1,,,SOLVENT,,,,,,,ClC1=CC=C2N=CC=CC2=C1,CC#N,[F-].[Cs+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,10.220000267028809,2021-03-04 13:56:15.501473,ord-d39d0f651bf24babaa042695695dd936,1.0,MICROLITER,True,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,3.0,2021-03-04 13:56:15.507251,ord-0949c62058644507894c50f008fa420a,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,c1ccc(cc1)P(c2ccccc2)c3ccccc3,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,4.730000019073486,2021-03-04 13:56:15.513218,ord-66d50407300d4a91ae8e8564059f2000,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,2.5799999237060547,2021-03-04 13:56:15.519269,ord-c598fec6b89a43b7ab347f0c6fc4c468,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,5.829999923706055,2021-03-04 13:56:15.525327,ord-2ee6c9d6d26f469fa97c324d2995cd14,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,1.8799999952316284,2021-03-04 13:56:15.531101,ord-de2478407e894d008dfdbfa75db0dac6,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,3.690000057220459,2021-03-04 13:56:15.536886,ord-581226489f6e46b18c9db641ba8f6aa6,,,,,
B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CN(C)C=O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,0.05000000074505806,MICROMOLE,CATALYST,SMILES,Cc1ccccc1,1.0,MICROLITER,True,SOLVENT,ClC1=CC=C2N=CC=CC2=C1,CC#N,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1.0,MICROMOLE,REAGENT,SMILES,O,1.0,MICROLITER,SOLVENT,53.34000015258789,2021-03-04 13:56:15.542571,ord-dbf0a72d4f414e2a8ad615a607f9cf26,,,,,
