ReactionID,Aryl Halide,Boronate,Ligand,Base,Solvent,Yield
28,R1_Cl,R2_B(OH)2,P(Cy)3,CsF,MeCN,6.489999771
29,R1_Cl,R2_B(OH)2,P(o-Tol)3,CsF,MeCN,2.099999905
30,R1_Cl,R2_B(OH)2,cataCXium A,CsF,MeCN,3.319999933
31,R1_Cl,R2_B(OH)2,SPhos,CsF,MeCN,68.44000244
32,R1_Cl,R2_B(OH)2,dtbpf,CsF,MeCN,5.840000153
33,R1_Cl,R2_B(OH)2,XPhos,CsF,MeCN,73.01999664
34,R1_Cl,R2_B(OH)2,dppf,CsF,MeCN,13.19999981
35,R1_Cl,R2_B(OH)2,Xantphos,CsF,MeCN,2.099999905
36,R1_Cl,R2_B(OH)2,Tol,CsF,MeCN,10.22000027
37,R1_Cl,R2_B(OH)2,P(tBu)3,K3PO4,MeCN,3
38,R1_Cl,R2_B(OH)2,PPh3,K3PO4,MeCN,4.730000019
39,R1_Cl,R2_B(OH)2,AmPhos,K3PO4,MeCN,2.579999924
40,R1_Cl,R2_B(OH)2,P(Cy)3,K3PO4,MeCN,5.829999924
41,R1_Cl,R2_B(OH)2,P(o-Tol)3,K3PO4,MeCN,1.879999995
42,R1_Cl,R2_B(OH)2,cataCXium A,K3PO4,MeCN,3.690000057
43,R1_Cl,R2_B(OH)2,SPhos,K3PO4,MeCN,53.34000015
44,R1_Cl,R2_B(OH)2,dtbpf,K3PO4,MeCN,5.800000191
45,R1_Cl,R2_B(OH)2,XPhos,K3PO4,MeCN,60.66999817
46,R1_Cl,R2_B(OH)2,dppf,K3PO4,MeCN,14.39000034
47,R1_Cl,R2_B(OH)2,Xantphos,K3PO4,MeCN,2.269999981
48,R1_Cl,R2_B(OH)2,Tol,K3PO4,MeCN,10
49,R1_Cl,R2_B(OH)2,P(tBu)3,KOH,MeCN,5.599999905
50,R1_Cl,R2_B(OH)2,PPh3,KOH,MeCN,4.820000172
51,R1_Cl,R2_B(OH)2,AmPhos,KOH,MeCN,2.49000001
52,R1_Cl,R2_B(OH)2,P(Cy)3,KOH,MeCN,6.460000038
53,R1_Cl,R2_B(OH)2,P(o-Tol)3,KOH,MeCN,2.059999943
54,R1_Cl,R2_B(OH)2,cataCXium A,KOH,MeCN,3.220000029
55,R1_Cl,R2_B(OH)2,SPhos,KOH,MeCN,78.41999817
56,R1_Cl,R2_B(OH)2,dtbpf,KOH,MeCN,8.93999958
57,R1_Cl,R2_B(OH)2,XPhos,KOH,MeCN,92.22000122
58,R1_Cl,R2_B(OH)2,dppf,KOH,MeCN,14.22000027
59,R1_Cl,R2_B(OH)2,Xantphos,KOH,MeCN,2.349999905
60,R1_Cl,R2_B(OH)2,Tol,KOH,MeCN,18.15999985
61,R1_Cl,R2_B(OH)2,P(tBu)3,LiOtBu,MeCN,7.079999924
62,R1_Cl,R2_B(OH)2,PPh3,LiOtBu,MeCN,5.449999809
63,R1_Cl,R2_B(OH)2,AmPhos,LiOtBu,MeCN,1.99000001
64,R1_Cl,R2_B(OH)2,P(Cy)3,LiOtBu,MeCN,6.079999924
65,R1_Cl,R2_B(OH)2,P(o-Tol)3,LiOtBu,MeCN,2.450000048
66,R1_Cl,R2_B(OH)2,cataCXium A,LiOtBu,MeCN,3.569999933
67,R1_Cl,R2_B(OH)2,SPhos,LiOtBu,MeCN,85.76999664
68,R1_Cl,R2_B(OH)2,dtbpf,LiOtBu,MeCN,9.779999733
69,R1_Cl,R2_B(OH)2,XPhos,LiOtBu,MeCN,92.83000183
70,R1_Cl,R2_B(OH)2,dppf,LiOtBu,MeCN,15.40999985
71,R1_Cl,R2_B(OH)2,Xantphos,LiOtBu,MeCN,2.430000067
72,R1_Cl,R2_B(OH)2,Tol,LiOtBu,MeCN,17.18000031
73,R1_Cl,R2_B(OH)2,P(tBu)3,Et3N,MeCN,7.820000172
74,R1_Cl,R2_B(OH)2,PPh3,Et3N,MeCN,6.139999866
75,R1_Cl,R2_B(OH)2,AmPhos,Et3N,MeCN,2.130000114
76,R1_Cl,R2_B(OH)2,P(Cy)3,Et3N,MeCN,5.050000191
77,R1_Cl,R2_B(OH)2,P(o-Tol)3,Et3N,MeCN,1.980000019
78,R1_Cl,R2_B(OH)2,cataCXium A,Et3N,MeCN,4.46999979
79,R1_Cl,R2_B(OH)2,SPhos,Et3N,MeCN,78.95999908
80,R1_Cl,R2_B(OH)2,dtbpf,Et3N,MeCN,7
81,R1_Cl,R2_B(OH)2,XPhos,Et3N,MeCN,90.30000305
82,R1_Cl,R2_B(OH)2,dppf,Et3N,MeCN,15.35999966
83,R1_Cl,R2_B(OH)2,Xantphos,Et3N,MeCN,2.50999999
84,R1_Cl,R2_B(OH)2,Tol,Et3N,MeCN,19.51000023
85,R1_Cl,R2_B(OH)2,P(tBu)3,None,MeCN,9.760000229
86,R1_Cl,R2_B(OH)2,PPh3,None,MeCN,4.150000095
87,R1_Cl,R2_B(OH)2,AmPhos,None,MeCN,1.529999971
88,R1_Cl,R2_B(OH)2,P(Cy)3,None,MeCN,5.800000191
89,R1_Cl,R2_B(OH)2,P(o-Tol)3,None,MeCN,2.650000095
90,R1_Cl,R2_B(OH)2,cataCXium A,None,MeCN,4.429999828
91,R1_Cl,R2_B(OH)2,SPhos,None,MeCN,66.80000305
92,R1_Cl,R2_B(OH)2,dtbpf,None,MeCN,6.420000076
93,R1_Cl,R2_B(OH)2,XPhos,None,MeCN,78.23000336
94,R1_Cl,R2_B(OH)2,dppf,None,MeCN,13.94999981
95,R1_Cl,R2_B(OH)2,Xantphos,None,MeCN,2.109999895
96,R1_Cl,R2_B(OH)2,Tol,None,MeCN,8.289999962
97,R1_Cl,R2_B(OH)2,P(tBu)3,NaOH,THF,33.79000092
98,R1_Cl,R2_B(OH)2,PPh3,NaOH,THF,8.079999924
99,R1_Cl,R2_B(OH)2,AmPhos,NaOH,THF,61.20000076
100,R1_Cl,R2_B(OH)2,P(Cy)3,NaOH,THF,69.94000244
101,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaOH,THF,7.199999809
102,R1_Cl,R2_B(OH)2,cataCXium A,NaOH,THF,79.47000122
103,R1_Cl,R2_B(OH)2,SPhos,NaOH,THF,87.05999756
104,R1_Cl,R2_B(OH)2,dtbpf,NaOH,THF,12.69999981
105,R1_Cl,R2_B(OH)2,XPhos,NaOH,THF,88.97000122
106,R1_Cl,R2_B(OH)2,dppf,NaOH,THF,27.93000031
107,R1_Cl,R2_B(OH)2,Xantphos,NaOH,THF,6.110000134
108,R1_Cl,R2_B(OH)2,Tol,NaOH,THF,20
109,R1_Cl,R2_B(OH)2,P(tBu)3,NaHCO3,THF,66.73999786
110,R1_Cl,R2_B(OH)2,PPh3,NaHCO3,THF,8.109999657
111,R1_Cl,R2_B(OH)2,AmPhos,NaHCO3,THF,57.47999954
112,R1_Cl,R2_B(OH)2,P(Cy)3,NaHCO3,THF,61.88999939
113,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaHCO3,THF,2.230000019
114,R1_Cl,R2_B(OH)2,cataCXium A,NaHCO3,THF,70.44999695
115,R1_Cl,R2_B(OH)2,SPhos,NaHCO3,THF,79.84999847
116,R1_Cl,R2_B(OH)2,dtbpf,NaHCO3,THF,9.600000381
117,R1_Cl,R2_B(OH)2,XPhos,NaHCO3,THF,80.76999664
118,R1_Cl,R2_B(OH)2,dppf,NaHCO3,THF,19.23999977
119,R1_Cl,R2_B(OH)2,Xantphos,NaHCO3,THF,5.199999809
120,R1_Cl,R2_B(OH)2,Tol,NaHCO3,THF,8.329999924
121,R1_Cl,R2_B(OH)2,P(tBu)3,CsF,THF,39.16999817
122,R1_Cl,R2_B(OH)2,PPh3,CsF,THF,7.239999771
123,R1_Cl,R2_B(OH)2,AmPhos,CsF,THF,44.97999954
124,R1_Cl,R2_B(OH)2,P(Cy)3,CsF,THF,50.95000076
125,R1_Cl,R2_B(OH)2,P(o-Tol)3,CsF,THF,2.230000019
126,R1_Cl,R2_B(OH)2,cataCXium A,CsF,THF,61.29000092
127,R1_Cl,R2_B(OH)2,SPhos,CsF,THF,60.83000183
128,R1_Cl,R2_B(OH)2,dtbpf,CsF,THF,9.93999958
129,R1_Cl,R2_B(OH)2,XPhos,CsF,THF,53.52000046
130,R1_Cl,R2_B(OH)2,dppf,CsF,THF,18.18000031
131,R1_Cl,R2_B(OH)2,Xantphos,CsF,THF,3.680000067
132,R1_Cl,R2_B(OH)2,Tol,CsF,THF,8.420000076
133,R1_Cl,R2_B(OH)2,P(tBu)3,K3PO4,THF,41.22999954
134,R1_Cl,R2_B(OH)2,PPh3,K3PO4,THF,6.659999847
135,R1_Cl,R2_B(OH)2,AmPhos,K3PO4,THF,33.02000046
136,R1_Cl,R2_B(OH)2,P(Cy)3,K3PO4,THF,50.06000137
137,R1_Cl,R2_B(OH)2,P(o-Tol)3,K3PO4,THF,2.680000067
138,R1_Cl,R2_B(OH)2,cataCXium A,K3PO4,THF,55.84999847
139,R1_Cl,R2_B(OH)2,SPhos,K3PO4,THF,47.93999863
140,R1_Cl,R2_B(OH)2,dtbpf,K3PO4,THF,9.369999886
141,R1_Cl,R2_B(OH)2,XPhos,K3PO4,THF,52.33000183
142,R1_Cl,R2_B(OH)2,dppf,K3PO4,THF,20.18000031
143,R1_Cl,R2_B(OH)2,Xantphos,K3PO4,THF,4.25
144,R1_Cl,R2_B(OH)2,Tol,K3PO4,THF,7.980000019
145,R1_Cl,R2_B(OH)2,P(tBu)3,KOH,THF,48.56000137
146,R1_Cl,R2_B(OH)2,PPh3,KOH,THF,7.769999981
147,R1_Cl,R2_B(OH)2,AmPhos,KOH,THF,42.72999954
148,R1_Cl,R2_B(OH)2,P(Cy)3,KOH,THF,55.08000183
149,R1_Cl,R2_B(OH)2,P(o-Tol)3,KOH,THF,3.029999971
150,R1_Cl,R2_B(OH)2,cataCXium A,KOH,THF,62.33000183
151,R1_Cl,R2_B(OH)2,SPhos,KOH,THF,73.30999756
152,R1_Cl,R2_B(OH)2,dtbpf,KOH,THF,12.30000019
153,R1_Cl,R2_B(OH)2,XPhos,KOH,THF,72
154,R1_Cl,R2_B(OH)2,dppf,KOH,THF,26.13999939
155,R1_Cl,R2_B(OH)2,Xantphos,KOH,THF,4.539999962
156,R1_Cl,R2_B(OH)2,Tol,KOH,THF,17.82999992
157,R1_Cl,R2_B(OH)2,P(tBu)3,LiOtBu,THF,66.16000366
158,R1_Cl,R2_B(OH)2,PPh3,LiOtBu,THF,9.920000076
159,R1_Cl,R2_B(OH)2,AmPhos,LiOtBu,THF,58.50999832
160,R1_Cl,R2_B(OH)2,P(Cy)3,LiOtBu,THF,78.15000153
161,R1_Cl,R2_B(OH)2,P(o-Tol)3,LiOtBu,THF,5.119999886
162,R1_Cl,R2_B(OH)2,cataCXium A,LiOtBu,THF,62.02000046
163,R1_Cl,R2_B(OH)2,SPhos,LiOtBu,THF,85.94999695
164,R1_Cl,R2_B(OH)2,dtbpf,LiOtBu,THF,13.90999985
165,R1_Cl,R2_B(OH)2,XPhos,LiOtBu,THF,85.20999908
166,R1_Cl,R2_B(OH)2,dppf,LiOtBu,THF,26.82999992
167,R1_Cl,R2_B(OH)2,Xantphos,LiOtBu,THF,0
168,R1_Cl,R2_B(OH)2,Tol,LiOtBu,THF,35.36999893
169,R1_Cl,R2_B(OH)2,P(tBu)3,Et3N,THF,68.72000122
170,R1_Cl,R2_B(OH)2,PPh3,Et3N,THF,10.15999985
171,R1_Cl,R2_B(OH)2,AmPhos,Et3N,THF,48.79999924
172,R1_Cl,R2_B(OH)2,P(Cy)3,Et3N,THF,82.65000153
173,R1_Cl,R2_B(OH)2,P(o-Tol)3,Et3N,THF,5.96999979
174,R1_Cl,R2_B(OH)2,cataCXium A,Et3N,THF,80.73999786
175,R1_Cl,R2_B(OH)2,SPhos,Et3N,THF,87.81999969
176,R1_Cl,R2_B(OH)2,dtbpf,Et3N,THF,13.56000042
177,R1_Cl,R2_B(OH)2,XPhos,Et3N,THF,88.93000031
178,R1_Cl,R2_B(OH)2,dppf,Et3N,THF,21.64999962
179,R1_Cl,R2_B(OH)2,Xantphos,Et3N,THF,3.640000105
180,R1_Cl,R2_B(OH)2,Tol,Et3N,THF,14.67000008
181,R1_Cl,R2_B(OH)2,P(tBu)3,None,THF,67.56999969
182,R1_Cl,R2_B(OH)2,PPh3,None,THF,9.43999958
183,R1_Cl,R2_B(OH)2,AmPhos,None,THF,64.55999756
184,R1_Cl,R2_B(OH)2,P(Cy)3,None,THF,73.97000122
185,R1_Cl,R2_B(OH)2,P(o-Tol)3,None,THF,4.809999943
186,R1_Cl,R2_B(OH)2,cataCXium A,None,THF,83.62000275
187,R1_Cl,R2_B(OH)2,SPhos,None,THF,89.16999817
188,R1_Cl,R2_B(OH)2,dtbpf,None,THF,10.97000027
189,R1_Cl,R2_B(OH)2,XPhos,None,THF,91.34999847
190,R1_Cl,R2_B(OH)2,dppf,None,THF,21.87000084
191,R1_Cl,R2_B(OH)2,Xantphos,None,THF,4.570000172
192,R1_Cl,R2_B(OH)2,Tol,None,THF,11.52999973
193,R1_Cl,R2_B(OH)2,P(tBu)3,NaOH,DMF,17.32999992
194,R1_Cl,R2_B(OH)2,PPh3,NaOH,DMF,6.269999981
195,R1_Cl,R2_B(OH)2,AmPhos,NaOH,DMF,5.340000153
196,R1_Cl,R2_B(OH)2,P(Cy)3,NaOH,DMF,12.73999977
197,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaOH,DMF,5.369999886
198,R1_Cl,R2_B(OH)2,cataCXium A,NaOH,DMF,8.600000381
199,R1_Cl,R2_B(OH)2,SPhos,NaOH,DMF,77.84999847
200,R1_Cl,R2_B(OH)2,dtbpf,NaOH,DMF,10.02999973
201,R1_Cl,R2_B(OH)2,XPhos,NaOH,DMF,88.27999878
202,R1_Cl,R2_B(OH)2,dppf,NaOH,DMF,13.86999989
203,R1_Cl,R2_B(OH)2,Xantphos,NaOH,DMF,4.800000191
204,R1_Cl,R2_B(OH)2,Tol,NaOH,DMF,8.31000042
205,R1_Cl,R2_B(OH)2,P(tBu)3,NaHCO3,DMF,3.5
206,R1_Cl,R2_B(OH)2,PPh3,NaHCO3,DMF,6.840000153
207,R1_Cl,R2_B(OH)2,AmPhos,NaHCO3,DMF,2.539999962
208,R1_Cl,R2_B(OH)2,P(Cy)3,NaHCO3,DMF,10.59000015
209,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaHCO3,DMF,1.190000057
210,R1_Cl,R2_B(OH)2,cataCXium A,NaHCO3,DMF,7.849999905
211,R1_Cl,R2_B(OH)2,SPhos,NaHCO3,DMF,42.13000107
212,R1_Cl,R2_B(OH)2,dtbpf,NaHCO3,DMF,6.809999943
213,R1_Cl,R2_B(OH)2,XPhos,NaHCO3,DMF,37.00999832
214,R1_Cl,R2_B(OH)2,dppf,NaHCO3,DMF,16.23999977
215,R1_Cl,R2_B(OH)2,Xantphos,NaHCO3,DMF,0
216,R1_Cl,R2_B(OH)2,Tol,NaHCO3,DMF,5.300000191
217,R1_Cl,R2_B(OH)2,P(tBu)3,CsF,DMF,1.220000029
218,R1_Cl,R2_B(OH)2,PPh3,CsF,DMF,6.239999771
219,R1_Cl,R2_B(OH)2,AmPhos,CsF,DMF,4.25
220,R1_Cl,R2_B(OH)2,P(Cy)3,CsF,DMF,42.54000092
221,R1_Cl,R2_B(OH)2,P(o-Tol)3,CsF,DMF,1.049999952
222,R1_Cl,R2_B(OH)2,cataCXium A,CsF,DMF,12.89000034
223,R1_Cl,R2_B(OH)2,SPhos,CsF,DMF,63.88000107
224,R1_Cl,R2_B(OH)2,dtbpf,CsF,DMF,8.670000076
225,R1_Cl,R2_B(OH)2,XPhos,CsF,DMF,60.88000107
226,R1_Cl,R2_B(OH)2,dppf,CsF,DMF,8.670000076
227,R1_Cl,R2_B(OH)2,Xantphos,CsF,DMF,5.150000095
228,R1_Cl,R2_B(OH)2,Tol,CsF,DMF,18.72999954
229,R1_Cl,R2_B(OH)2,P(tBu)3,K3PO4,DMF,3.690000057
230,R1_Cl,R2_B(OH)2,PPh3,K3PO4,DMF,5.300000191
231,R1_Cl,R2_B(OH)2,AmPhos,K3PO4,DMF,5.079999924
232,R1_Cl,R2_B(OH)2,P(Cy)3,K3PO4,DMF,6.96999979
233,R1_Cl,R2_B(OH)2,P(o-Tol)3,K3PO4,DMF,0.99000001
234,R1_Cl,R2_B(OH)2,cataCXium A,K3PO4,DMF,11.90999985
235,R1_Cl,R2_B(OH)2,SPhos,K3PO4,DMF,39.83000183
236,R1_Cl,R2_B(OH)2,dtbpf,K3PO4,DMF,7.579999924
237,R1_Cl,R2_B(OH)2,XPhos,K3PO4,DMF,39.49000168
238,R1_Cl,R2_B(OH)2,dppf,K3PO4,DMF,9.029999733
239,R1_Cl,R2_B(OH)2,Xantphos,K3PO4,DMF,0
240,R1_Cl,R2_B(OH)2,Tol,K3PO4,DMF,14.07999992
241,R1_Cl,R2_B(OH)2,P(tBu)3,KOH,DMF,13.55000019
242,R1_Cl,R2_B(OH)2,PPh3,KOH,DMF,4.360000134
243,R1_Cl,R2_B(OH)2,AmPhos,KOH,DMF,3.299999952
244,R1_Cl,R2_B(OH)2,P(Cy)3,KOH,DMF,7.46999979
245,R1_Cl,R2_B(OH)2,P(o-Tol)3,KOH,DMF,3.539999962
246,R1_Cl,R2_B(OH)2,cataCXium A,KOH,DMF,10.67000008
247,R1_Cl,R2_B(OH)2,SPhos,KOH,DMF,62.77000046
248,R1_Cl,R2_B(OH)2,dtbpf,KOH,DMF,8.829999924
249,R1_Cl,R2_B(OH)2,XPhos,KOH,DMF,79.13999939
250,R1_Cl,R2_B(OH)2,dppf,KOH,DMF,10.06999969
251,R1_Cl,R2_B(OH)2,Xantphos,KOH,DMF,4.460000038
252,R1_Cl,R2_B(OH)2,Tol,KOH,DMF,15.88000011
253,R1_Cl,R2_B(OH)2,P(tBu)3,LiOtBu,DMF,23.06999969
254,R1_Cl,R2_B(OH)2,PPh3,LiOtBu,DMF,7.070000172
255,R1_Cl,R2_B(OH)2,AmPhos,LiOtBu,DMF,4.119999886
256,R1_Cl,R2_B(OH)2,P(Cy)3,LiOtBu,DMF,6.710000038
257,R1_Cl,R2_B(OH)2,P(o-Tol)3,LiOtBu,DMF,2.670000076
258,R1_Cl,R2_B(OH)2,cataCXium A,LiOtBu,DMF,6.269999981
259,R1_Cl,R2_B(OH)2,SPhos,LiOtBu,DMF,71.54000092
260,R1_Cl,R2_B(OH)2,dtbpf,LiOtBu,DMF,10.01000023
261,R1_Cl,R2_B(OH)2,XPhos,LiOtBu,DMF,61.47000122
262,R1_Cl,R2_B(OH)2,dppf,LiOtBu,DMF,9.539999962
263,R1_Cl,R2_B(OH)2,Xantphos,LiOtBu,DMF,0
264,R1_Cl,R2_B(OH)2,Tol,LiOtBu,DMF,15.89000034
265,R1_Cl,R2_B(OH)2,P(tBu)3,Et3N,DMF,17.89999962
266,R1_Cl,R2_B(OH)2,PPh3,Et3N,DMF,4.610000134
267,R1_Cl,R2_B(OH)2,AmPhos,Et3N,DMF,4.599999905
268,R1_Cl,R2_B(OH)2,P(Cy)3,Et3N,DMF,7.559999943
269,R1_Cl,R2_B(OH)2,P(o-Tol)3,Et3N,DMF,2.559999943
270,R1_Cl,R2_B(OH)2,cataCXium A,Et3N,DMF,6.260000229
271,R1_Cl,R2_B(OH)2,SPhos,Et3N,DMF,72.83999634
272,R1_Cl,R2_B(OH)2,dtbpf,Et3N,DMF,10.17000008
273,R1_Cl,R2_B(OH)2,XPhos,Et3N,DMF,67.48000336
274,R1_Cl,R2_B(OH)2,dppf,Et3N,DMF,9.640000343
275,R1_Cl,R2_B(OH)2,Xantphos,Et3N,DMF,0
276,R1_Cl,R2_B(OH)2,Tol,Et3N,DMF,15.05000019
277,R1_Cl,R2_B(OH)2,P(tBu)3,None,DMF,19.07999992
278,R1_Cl,R2_B(OH)2,PPh3,None,DMF,4.880000114
279,R1_Cl,R2_B(OH)2,AmPhos,None,DMF,5.429999828
280,R1_Cl,R2_B(OH)2,P(Cy)3,None,DMF,7.059999943
281,R1_Cl,R2_B(OH)2,P(o-Tol)3,None,DMF,1.220000029
282,R1_Cl,R2_B(OH)2,cataCXium A,None,DMF,8.890000343
283,R1_Cl,R2_B(OH)2,SPhos,None,DMF,49.11999893
284,R1_Cl,R2_B(OH)2,dtbpf,None,DMF,11.14999962
285,R1_Cl,R2_B(OH)2,XPhos,None,DMF,43.52000046
286,R1_Cl,R2_B(OH)2,dppf,None,DMF,8.859999657
287,R1_Cl,R2_B(OH)2,Xantphos,None,DMF,0
288,R1_Cl,R2_B(OH)2,Tol,None,DMF,15.11999989
289,R1_Cl,R2_B(OH)2,P(tBu)3,NaOH,MeOH,33.36999893
290,R1_Cl,R2_B(OH)2,PPh3,NaOH,MeOH,15.35000038
291,R1_Cl,R2_B(OH)2,AmPhos,NaOH,MeOH,30.95999908
292,R1_Cl,R2_B(OH)2,P(Cy)3,NaOH,MeOH,32.72000122
293,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaOH,MeOH,34.24000168
294,R1_Cl,R2_B(OH)2,cataCXium A,NaOH,MeOH,14.90999985
295,R1_Cl,R2_B(OH)2,SPhos,NaOH,MeOH,43.29999924
296,R1_Cl,R2_B(OH)2,dtbpf,NaOH,MeOH,17.56999969
297,R1_Cl,R2_B(OH)2,XPhos,NaOH,MeOH,37.65000153
298,R1_Cl,R2_B(OH)2,dppf,NaOH,MeOH,14.59000015
299,R1_Cl,R2_B(OH)2,Xantphos,NaOH,MeOH,13.10000038
300,R1_Cl,R2_B(OH)2,Tol,NaOH,MeOH,15.32999992
301,R1_Cl,R2_B(OH)2,P(tBu)3,NaHCO3,MeOH,27.29999924
302,R1_Cl,R2_B(OH)2,PPh3,NaHCO3,MeOH,37.47000122
303,R1_Cl,R2_B(OH)2,AmPhos,NaHCO3,MeOH,13.07999992
304,R1_Cl,R2_B(OH)2,P(Cy)3,NaHCO3,MeOH,27.88999939
305,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaHCO3,MeOH,14.39999962
306,R1_Cl,R2_B(OH)2,cataCXium A,NaHCO3,MeOH,25.14999962
307,R1_Cl,R2_B(OH)2,SPhos,NaHCO3,MeOH,16.51000023
308,R1_Cl,R2_B(OH)2,dtbpf,NaHCO3,MeOH,27.55999947
309,R1_Cl,R2_B(OH)2,XPhos,NaHCO3,MeOH,30.97999954
310,R1_Cl,R2_B(OH)2,dppf,NaHCO3,MeOH,20.15999985
311,R1_Cl,R2_B(OH)2,Xantphos,NaHCO3,MeOH,25.89999962
312,R1_Cl,R2_B(OH)2,Tol,NaHCO3,MeOH,12.64999962
313,R1_Cl,R2_B(OH)2,P(tBu)3,CsF,MeOH,28.45000076
314,R1_Cl,R2_B(OH)2,PPh3,CsF,MeOH,13.64000034
315,R1_Cl,R2_B(OH)2,AmPhos,CsF,MeOH,31.81999969
316,R1_Cl,R2_B(OH)2,P(Cy)3,CsF,MeOH,30.94000053
317,R1_Cl,R2_B(OH)2,P(o-Tol)3,CsF,MeOH,31.97999954
318,R1_Cl,R2_B(OH)2,cataCXium A,CsF,MeOH,28.12999916
319,R1_Cl,R2_B(OH)2,SPhos,CsF,MeOH,18.42000008
320,R1_Cl,R2_B(OH)2,dtbpf,CsF,MeOH,15.46000004
321,R1_Cl,R2_B(OH)2,XPhos,CsF,MeOH,35
322,R1_Cl,R2_B(OH)2,dppf,CsF,MeOH,20.70999908
323,R1_Cl,R2_B(OH)2,Xantphos,CsF,MeOH,32.24000168
324,R1_Cl,R2_B(OH)2,Tol,CsF,MeOH,33.68000031
325,R1_Cl,R2_B(OH)2,P(tBu)3,K3PO4,MeOH,26.85000038
326,R1_Cl,R2_B(OH)2,PPh3,K3PO4,MeOH,15.5
327,R1_Cl,R2_B(OH)2,AmPhos,K3PO4,MeOH,12.56999969
328,R1_Cl,R2_B(OH)2,P(Cy)3,K3PO4,MeOH,14.39999962
329,R1_Cl,R2_B(OH)2,P(o-Tol)3,K3PO4,MeOH,13.03999996
330,R1_Cl,R2_B(OH)2,cataCXium A,K3PO4,MeOH,15.22999954
331,R1_Cl,R2_B(OH)2,SPhos,K3PO4,MeOH,22.25
332,R1_Cl,R2_B(OH)2,dtbpf,K3PO4,MeOH,17.28000069
333,R1_Cl,R2_B(OH)2,XPhos,K3PO4,MeOH,22.23999977
334,R1_Cl,R2_B(OH)2,dppf,K3PO4,MeOH,15.82999992
335,R1_Cl,R2_B(OH)2,Xantphos,K3PO4,MeOH,14.97000027
336,R1_Cl,R2_B(OH)2,Tol,K3PO4,MeOH,13.77000046
337,R1_Cl,R2_B(OH)2,P(tBu)3,KOH,MeOH,14.90999985
338,R1_Cl,R2_B(OH)2,PPh3,KOH,MeOH,18.37000084
339,R1_Cl,R2_B(OH)2,AmPhos,KOH,MeOH,22.52000046
340,R1_Cl,R2_B(OH)2,P(Cy)3,KOH,MeOH,39.31000137
341,R1_Cl,R2_B(OH)2,P(o-Tol)3,KOH,MeOH,18.23999977
342,R1_Cl,R2_B(OH)2,cataCXium A,KOH,MeOH,30.77000046
343,R1_Cl,R2_B(OH)2,SPhos,KOH,MeOH,19.02000046
344,R1_Cl,R2_B(OH)2,dtbpf,KOH,MeOH,16.03000069
345,R1_Cl,R2_B(OH)2,XPhos,KOH,MeOH,40.25
346,R1_Cl,R2_B(OH)2,dppf,KOH,MeOH,17.68000031
